state_name,state_is_easing_social_distancing_measures,stay_at_home_order,date_when_stay_at_home_ordered,mandatory_quarantine_for_travelers,non-essential_business_closures,large_gatherings_ban,school_closures,restaurant_limits,primary_election_postponement,emergency_declaration,date_of_state_emergency_declared,waive_cost_sharing_for_covid-19_treatment,free_cost_vaccine_when_available,state_requires_waiver_of_prior_authorization_requirements,early_prescription_refills,premium_payment_grace_period,marketplace_special_enrollment_period(SEP),section_1135_waiver,paid_sick_leave,daycares
Maine,Yes,Statewide,2-Apr,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,15-Mar,,State Requires,For COVID-19 Testing,State Requires,,,Approved,,Yes
Maryland,,Statewide,30-Mar,All Travelers,All Non-Essential Businesses Closed,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,Postponed,Yes,5-Mar,,State Requires,,State Requires,,Yes,Approved,Enacted,Yes
Massachusetts,,Statewide,March 24?(advisory),All Travelers,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,10-Mar,State Requires,State Requires,For COVID-19 Testing and Treatment,State Requires,,Yes,Approved,Enacted,Yes
Michigan,Yes,Statewide,24-Mar,,Some Non-Essential Businesses Permitted to Reopen,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,11-Mar,State-Insurer Agreement,,,State Requires,,,Approved,,Yes
Minnesota,Yes,Statewide,27-Mar,,Some Non-Essential Businesses Permitted to Reopen,,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,13-Mar,State-Insurer Agreement,,,,,Yes,Approved,,Yes
Mississippi,Yes,Lifted,3-Apr,,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,4-Mar,,,,,All Policies,,Approved,,No
Missouri,Yes,Lifted,6-Apr,,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,13-Mar,,,,,,,Approved,,No
Montana,Yes,Lifted,28-Mar,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed,Reopened to Dine-in Service with Capacity Limits,,Yes,12-Mar,,,,,,,Approved,,Yes
Nebraska,,,No,,,>10 People Prohibited,Closed,Reopened to Dine-in Service with Capacity Limits,,Yes,13-Mar,,,,,,,Approved,,Restricted
Nevada,,Statewide,1-Apr,,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,12-Mar,,State Requires,,,,Yes,Approved,,Yes
New Hampshire,,Statewide,27-Mar,,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,13-Mar,,,For COVID-19 Testing,State Requires,,,Approved,,Yes
New Jersey,,Statewide,21-Mar,,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Closed,Closed Except for Takeout/Delivery,Postponed,Yes,9-Mar,,,,,All Policies,,Approved,Enacted,Yes
New Mexico,,Statewide,24-Mar,All Air Travelers,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Limited Dine-in Service,,Yes,11-Mar,State Requires,,,,,,Approved,,Yes
New York,,Statewide,22-Mar,,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Canceled,Yes,7-Mar,,State Requires,,,COVID-19 Diagnosis/Impacts Only,Yes,Approved,Enacted,Yes
North Carolina,,Statewide,30-Mar,,All Non-Essential Businesses Closed,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,,Yes,10-Mar,,,,,All Policies,,Approved,,Yes
North Dakota,Yes,,No,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,,Closed,Reopened to Dine-in Service with Capacity Limits,,Yes,13-Mar,,,,,,,Approved,,Yes
Ohio,Yes,Statewide,23-Mar,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,9-Mar,,,,,All Policies,,Approved,,Restricted
Oklahoma,Yes,High-Risk Groups,April 2?(partial advisory),From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,15-Mar,,,For COVID-19 Testing and Treatment,State Requires,All Policies,,Approved,,Yes
Oregon,,Statewide,23-Mar,,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,8-Mar,,State-Insurer Agreement,,,All Policies,,Approved,Enacted,Yes
Pennsylvania,,Statewide,1-Apr,,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,6-Mar,,,For COVID-19 Testing,,,,Approved,,Yes
Rhode Island,,Statewide,28-Mar,All Travelers,Some Non-Essential Businesses Closed,Other,Closed,Closed Except for Takeout/Delivery,Postponed,Yes,9-Mar,,State Requires,For COVID-19 Testing,State Requires,,Yes,Approved,Enacted,Yes
South Carolina,Yes,Lifted,7-Apr,Lifted,Some Non-Essential Businesses Permitted to Reopen,All Gatherings Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,13-Mar,,,,,,,Approved,,Yes
South Dakota,,,Regional,,,Lifted,Recommended Closure for School Year,,,Yes,13-Mar,,,,,,,Approved,,Yes
Tennessee,Yes,Lifted,2-Apr,,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,12-Mar,,,,,,,Approved,,Yes
Texas,Yes,Lifted,2-Apr,From Certain States,,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,,Yes,13-Mar,,,,,,,Approved,,Yes
Utah,Yes,Lifted,Regional,Rolled Back to Certain States,,Expanded to 20+ People Prohibited,Closed for School Year,Reopened to Dine-in Service,,Yes,6-Mar,,,,,,,Approved,Proposed - March 2020,Yes
Vermont,Yes,Statewide,25-Mar,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,16-Mar,,,,,,Yes,Approved,Enacted,Yes
Virginia,,Statewide,30-Mar,,Some Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,12-Mar,,,,,,,Approved,,Yes
Washington,,Statewide,23-Mar,,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,29-Feb,,,For COVID-19 Testing and Treatment,State Requires,All Policies,Yes,Approved,Enacted,Yes
West Virginia,Yes,Lifted,23-Mar,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to 25+ People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes,4-Mar,,,,State Requires,COVID-19 Diagnosis/Impacts Only,,Approved,,Yes
Wisconsin,,Statewide,25-Mar,,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,,Yes,12-Mar,,,,,,,Approved,,Restricted
Wyoming,,,Regional,All Travelers,,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,,Yes,12-Mar,,,,,,,Approved,,Yes
