"Location","State Is Easing Social Distancing Measures","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (4); No (47)","Statewide (42); High-risk Groups (2); Other (1); No Action (6)","All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29)","All Non-Essential Businesses (32); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (8); No Action (7)","All Gatherings Prohibited (18); >10 Prohibited (26); Other (4); No Action (3)","Closed (16); Closed for School Year (28); Recommended Closure (1); Recommended Closure for School Year (6)","Closed Except for Takeout/Delivery (46); Limited On-Site Service (3); Other (1); No Action (1)","Yes (15); No (36)","Yes (51); No (0)"
"Idaho","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Recommended Closure","Closed Except for Takeout/Delivery","-","Yes"
"Illinois","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Indiana","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"Iowa","-","-","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","4"
"Kansas","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Limited On-Site Service","-","Yes"
"Kentucky","-","Statewide","Other","All Non-Essential Retail Businesses","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","Yes","Yes","1, 5"
"Louisiana","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Maine","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Maryland","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"Massachusetts","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","1"
"Michigan","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Minnesota","-","Statewide","-","-","-","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Mississippi","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Missouri","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Montana","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Nebraska","-","-","-","-",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","6"
"Nevada","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","5"
"New Hampshire","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"New Jersey","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"New Mexico","-","Statewide","All Air Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Limited On-Site Service","-","Yes","5"
"New York","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Yes","Yes"
"North Carolina","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","5"
"North Dakota","-","-","All Travelers","Certain Non-Essential Businesses","-","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Ohio","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes"
"Oklahoma","-","High-risk Groups","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Other","-","Yes","7"
"Oregon","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Pennsylvania","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Rhode Island","-","Statewide","All Travelers","All Non-Essential Retail Businesses","Other","Closed","Closed Except for Takeout/Delivery","Yes","Yes","2"
"South Carolina","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"South Dakota","-","-","-","-",">10 People Prohibited","Recommended Closure for School Year","-","-","Yes"
"Tennessee","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Texas","-","Other","From Certain States","-",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","8"
"Utah","-","High-risk Groups","All Travelers","-","-","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Vermont","Reopens Certain Businesses","Statewide","All Travelers","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","9"
"Virginia","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Washington","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"West Virginia","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Closed for School Year","Closed Except for Takeout/Delivery","Yes","Yes","2"
"Wisconsin","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Wyoming","-","-","All Travelers","-",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"

