"Location","State Is Easing Social Distancing Measures","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (4); No (47)","Statewide (42); High-risk Groups (2); Other (1); No Action (6)","All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29)","All Non-Essential Businesses (32); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (8); No Action (7)","All Gatherings Prohibited (18); >10 Prohibited (26); Other (4); No action (3)","Yes (49); Effectively Closed (2)","Closed except for takeout/delivery (46); Limited on-site service (3); Other (1); No action (1)","Yes (15); No (36)","Yes (51); No (0)"
"Kentucky","-","Statewide","Other","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","2, 6"
"Louisiana","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Maine","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Maryland","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Massachusetts","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","2"
"Michigan","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Minnesota","-","Statewide","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Mississippi","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Missouri","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Montana","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Nebraska","-","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","7"
"Nevada","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","6"
"New Hampshire","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Jersey","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"New Mexico","-","Statewide","All Air Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Limited On-site Service","-","Yes","6"
"New York","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"North Carolina","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","6"
"North Dakota","-","-","All Travelers","Certain Non-Essential Businesses","-","Yes","Closed except for takeout/delivery","-","Yes"
"Ohio","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Oklahoma","-","High-risk Groups","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Other","-","Yes","8"
"Oregon","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Pennsylvania","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Rhode Island","-","Statewide","All Travelers","All Non-Essential Retail Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","3"
"South Carolina","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"South Dakota","-","-","-","-",">10 People Prohibited","Yes","-","-","Yes"
"Tennessee","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Texas","-","Other","From Certain States","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","9"
"Utah","-","High-risk Groups","All Travelers","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Vermont","Reopens Certain Businesses","Statewide","All Travelers","Certain Non-Essential Businesses*",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","10"
"Virginia","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Washington","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"West Virginia","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","3"
"Wisconsin","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wyoming","-","-","All Travelers","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
